time_step,num_nodes,num_edges,num_illicit,num_licit,num_unknown
1,7880,9164,17,2130,5733
2,4544,5241,18,1099,3427
3,6621,8316,11,1268,5342
4,5693,8180,30,1410,4253
5,6803,8623,8,1874,4921
6,4328,5242,5,480,3843
7,6048,7253,102,1101,4845
8,4457,5186,67,1098,3292
9,4996,5939,248,530,4218
10,6727,8588,18,954,5755
11,4296,4656,131,565,3600
12,2047,2213,16,490,1541
13,4528,4827,291,518,3719
14,2022,2078,43,374,1605
15,3639,3823,147,471,3021
16,2975,3120,128,402,2445
17,3385,3650,99,712,2574
18,1976,2115,52,337,1587
19,3506,3838,80,665,2761
20,4291,4755,260,640,3391
21,3537,3959,100,541,2896
22,5894,7014,158,1605,4131
23,4165,4584,53,1134,2978
24,4592,5124,137,989,3466
25,2314,2619,118,476,1720
26,2523,2690,96,421,2006
27,1089,1168,24,182,883
28,1653,1717,85,199,1369
29,4275,4541,329,845,3101
30,2483,2561,83,441,1959
31,2816,3049,106,604,2106
32,4525,4952,342,981,3202
33,3151,3366,23,418,2710
34,2486,2692,37,478,1971
35,5507,6351,182,1159,4166
36,6393,7813,33,1675,4685
37,3306,3849,40,458,2808
38,2891,3094,111,645,2135
39,2760,2914,81,1102,1577
40,4481,5246,112,1099,3270
41,5342,6093,116,1016,4210
42,7140,8493,239,1915,4986
43,5063,5950,24,1346,3693
44,4975,5551,24,1567,3384
45,5598,6673,5,1216,4377
46,3519,3866,2,710,2807
47,5121,5748,22,824,4275
48,2954,3284,36,435,2483
49,2454,2587,56,420,1978
