time_step,static_f1,n_labeled,illicit_rate,adaptive_f1,f1_delta
35,0.6971428571428572,1341,0.13571961222967935,0.6971428571428572,0.0
36,0.1412639405204461,1708,0.019320843091334895,0.15498154981549817,0.013717609295052058
37,0.4144144144144144,498,0.08032128514056225,0.46938775510204084,0.05497334068762644
38,0.4807692307692308,756,0.14682539682539683,0.6070038910505836,0.12623466028135283
39,0.5867768595041323,1183,0.06846999154691462,0.660377358490566,0.07360049898643373
40,0.36585365853658536,1211,0.09248554913294797,0.4125874125874126,0.04673375405082725
41,0.45733788395904434,1132,0.10247349823321555,0.543859649122807,0.0865217651637627
42,0.5850622406639004,2154,0.11095636025998143,0.649164677804296,0.06410243714039554
43,0.007692307692307693,1370,0.017518248175182483,0.008438818565400843,0.0007465108730931504
44,0.0,1591,0.01508485229415462,0.0,0.0
45,0.0,1221,0.004095004095004095,0.0,0.0
46,0.041666666666666664,712,0.0028089887640449437,0.08,0.03833333333333334
47,0.04878048780487805,846,0.026004728132387706,0.0,-0.04878048780487805
48,0.0,471,0.07643312101910828,0.0,0.0
49,0.0,476,0.11764705882352941,0.0,0.0
