time_step,static_f1,n_labeled,illicit_rate,adaptive_f1,f1_delta
35,0.7559055118110236,1341,0.13571961222967935,0.7559055118110236,0.0
36,0.3125,1708,0.019320843091334895,0.3384615384615385,0.02596153846153848
37,0.4752475247524752,498,0.08032128514056225,0.6046511627906976,0.1294036380382224
38,0.5836065573770491,756,0.14682539682539683,0.7679324894514767,0.1843259320744276
39,0.717948717948718,1183,0.06846999154691462,0.7562189054726368,0.038270187523918864
40,0.5275590551181102,1211,0.09248554913294797,0.5576208178438662,0.030061762725756003
41,0.5435540069686411,1132,0.10247349823321555,0.6346863468634686,0.0911323398948275
42,0.6330097087378641,2154,0.11095636025998143,0.6617375231053605,0.028727814367496385
43,0.0,1370,0.017518248175182483,0.0,0.0
44,0.0425531914893617,1591,0.01508485229415462,0.03636363636363636,-0.006189555125725339
45,0.0,1221,0.004095004095004095,0.0,0.0
46,0.07407407407407407,712,0.0028089887640449437,0.09090909090909091,0.01683501683501684
47,0.0,846,0.026004728132387706,0.0,0.0
48,0.0,471,0.07643312101910828,0.0,0.0
49,0.023255813953488372,476,0.11764705882352941,0.0,-0.023255813953488372
